"id","name","category","city","latitude","longitude","ticket_price","opening_hours","last_updated"
"1251","Albert Cuyp-markt","attraction","amsterdam","52.356054","4.8949678",,,"2025-09-05 09:12:25.10337"
"1252","Huis met de Kabouters","attraction","amsterdam","52.3559983","4.9042462",,,"2025-09-05 09:12:25.10337"
"1253","Φυλακή του Σωκράτη","attraction","athens","37.9693753","23.7208104",,,"2025-09-05 09:12:32.246199"
"1254","Κιμώνεια μνήματα","attraction","athens","37.9697061","23.7196103",,,"2025-09-05 09:12:32.246199"
"1255","Μ. Αστερίου (Ταξιαρχών)","attraction","athens","37.9697157","23.8111233",,,"2025-09-05 09:12:32.246199"
"1256","Βάραθρο Νταβέλη","attraction","athens","38.2044356","23.7729308",,,"2025-09-05 09:12:32.246199"
"1257","Βάραθρο Θρακιά Σταυρού","attraction","athens","37.9123045","23.7958576",,,"2025-09-05 09:12:32.246199"
"1258","Βάραθρο Αστερίου","attraction","athens","37.974752","23.8119605",,,"2025-09-05 09:12:32.246199"
"1259","Λιοντάρι","attraction","athens","37.9873799","23.8297302",,,"2025-09-05 09:12:32.246199"
"1260","Σπηλαιοβάραθρο Παιανίας ""Κουτούκι""","attraction","athens","37.9460496","23.828544",,,"2025-09-05 09:12:32.246199"
"1261","Γιδοσπηλιά","attraction","athens","37.9430968","23.7929135",,,"2025-09-05 09:12:32.246199"
"1262","Τρύπια Σπηλιά","attraction","athens","37.9042805","23.7982269",,,"2025-09-05 09:12:32.246199"
"1263","Μικρό Βάραθρο Σταυρού","attraction","athens","37.9108238","23.8029566",,,"2025-09-05 09:12:32.246199"
"1264","Βάραθρο Μεγάλο Πύργου","attraction","athens","37.9398517","23.7961585",,,"2025-09-05 09:12:32.246199"
"1265","Βάραθρο Μικρό Πύργου","attraction","athens","37.9397584","23.7960297",,,"2025-09-05 09:12:32.246199"
"1266","Ψυρρή","attraction","athens","37.9784208","23.7249422",,,"2025-09-05 09:12:32.246199"
"1267","Υ/Β Παπανικολής","attraction","athens","37.9324948","23.6459179",,,"2025-09-05 09:12:32.246199"
"1268","Ορυχεία Φυρέ","attraction","athens","37.9996036","23.8369864",,,"2025-09-05 09:12:32.246199"
"1269","Αφρικανική σαβάνα","attraction","athens","37.9801907","23.9077729",,,"2025-09-05 09:12:32.246199"
"1270","Ρινόκεροι","attraction","athens","37.980345","23.9063219",,,"2025-09-05 09:12:32.246199"
"1271","Φλαμίνγκο","attraction","athens","37.9803387","23.9101762",,,"2025-09-05 09:12:32.246199"
"1273","Δρακόσπιτο","attraction","athens","37.9498495","23.7941305",,,"2025-09-05 09:12:32.246199"
"1274","Unknown-3832402704","attraction","athens","37.9807595","23.9080249",,,"2025-09-05 09:12:32.246199"
"1275","Δράκος Κομόντο","attraction","athens","37.9812287","23.9074518",,,"2025-09-05 09:12:32.246199"
"1276","Τσιτάχ","attraction","athens","37.9807104","23.9059114",,,"2025-09-05 09:12:32.246199"
"1277","Επτάθρονο","attraction","athens","37.968755","23.7184959",,,"2025-09-05 09:12:32.246199"
"1278","Βοτανικός Κήπος Διομήδους","attraction","athens","38.0105985","23.6427364",,,"2025-09-05 09:12:32.246199"
"1279","Νυχτόβια πουλιά","attraction","athens","37.9814106","23.9070374",,,"2025-09-05 09:12:32.246199"
"1280","F5","attraction","athens","37.9356716","23.6927493",,,"2025-09-05 09:12:32.246199"
"1281","Unknown-4004292190","attraction","athens","37.9322433","23.6917276",,,"2025-09-05 09:12:32.246199"
"1282","Σπήλαιο νυχτερίδας","attraction","athens","37.9909887","23.8275693",,,"2025-09-05 09:12:32.246199"
"1283","Πανας Γεμελας πρακτορειο","attraction","athens","37.9650376","23.6673342",,,"2025-09-05 09:12:32.246199"
"1284","Unknown-4350834717","attraction","athens","37.9730839","23.7331058",,,"2025-09-05 09:12:32.246199"
"1285","Συν-Οικία Πιττάκη","attraction","athens","37.9773292","23.724649",,,"2025-09-05 09:12:32.246199"
"1286","Bird cages","attraction","athens","37.98828","23.7712667",,,"2025-09-05 09:12:32.246199"
"1287","Κύλινδρος","attraction","athens","37.9532163","23.8605314",,,"2025-09-05 09:12:32.246199"
"1288","ξύλινο σπίτι","attraction","athens","38.1324017","23.86155",,,"2025-09-05 09:12:32.246199"
"1289","Ηρώο του Μουσαίου","attraction","athens","37.9676261","23.7211713",,,"2025-09-05 09:12:32.246199"
"1290","Ιερό Διός Υψίστου","attraction","athens","37.9714075","23.7193798",,,"2025-09-05 09:12:32.246199"
"1291","Αγάλματα από τη Ρωμαϊκή Σκηνή του Θεάτρου του Διονύσου","attraction","athens","37.9699551","23.7290777",,,"2025-09-05 09:12:32.246199"
"1292","Unknown-4420446790","attraction","athens","37.9783279","23.7484015",,,"2025-09-05 09:12:32.246199"
"1293","Κωτσιοπουλος","attraction","athens","37.8884772","23.9300119",,,"2025-09-05 09:12:32.246199"
"1294","Champion club-Gerakas","attraction","athens","38.0086041","23.8609414",,,"2025-09-05 09:12:32.246199"
"1295","Unknown-4769627621","attraction","athens","37.9572678","23.7478963",,,"2025-09-05 09:12:32.246199"
"1296","FRT RACING CAR","attraction","athens","38.1354261","23.9170201",,,"2025-09-05 09:12:32.246199"
"1297","Πλατεία Ψυρρή","attraction","athens","37.9784443","23.7248433",,,"2025-09-05 09:12:32.246199"
"1298","""Καμίνι"" Πολιτιστικό κέντρο Δήμου Γαλατσίου","attraction","athens","38.0153906","23.7496307",,,"2025-09-05 09:12:32.246199"
"1299","Γιγαντιαία χελώνα","attraction","athens","37.9810642","23.9073817",,,"2025-09-05 09:12:32.246199"
"1300","Μαυρόκυκνος","attraction","athens","37.9807853","23.9084988",,,"2025-09-05 09:12:32.246199"
"1301","Σπηλιά Νταβέλη","attraction","athens","38.0708339","23.877298",,,"2025-09-05 09:12:32.246199"
"1302","Χιλιομετρικό Σημείο Μηδέν Αθήνας","attraction","athens","37.9734566","23.718047",,,"2025-09-05 09:12:32.246199"
"1303","Χορηγικό μνημείο Θρασσύλου","attraction","athens","37.9711184","23.7276316",,,"2025-09-05 09:12:32.246199"
"1304","Καμηλοπάρδαλη","attraction","athens","37.9799049","23.9082681",,,"2025-09-05 09:12:32.246199"
"1305","Υδατόπυργος Παλλήνης","attraction","athens","38.0051637","23.88221",,,"2025-09-05 09:12:32.246199"
"1306","Unknown-5561054421","attraction","athens","37.9754905","23.7238957",,,"2025-09-05 09:12:32.246199"
"1307","Unknown-5561054422","attraction","athens","37.9750459","23.7240038",,,"2025-09-05 09:12:32.246199"
"1308","Υδρόμυλος","attraction","athens","37.9744358","23.7241202",,,"2025-09-05 09:12:32.246199"
"1309","Κλεψύδρα","attraction","athens","37.9744195","23.7224523",,,"2025-09-05 09:12:32.246199"
"1310","Μεγάλος Αγωγός","attraction","athens","37.9751546","23.7223154",,,"2025-09-05 09:12:32.246199"
"1311","Βωμός Διός Αγοραίου","attraction","athens","37.9751425","23.7225123",,,"2025-09-05 09:12:32.246199"
"1312","Πρόπυλο του Ιερού του Διονύσου","attraction","athens","37.9699348","23.7283968",,,"2025-09-05 09:12:32.246199"
"1313","Αρχαϊκός ναός Διονύσου","attraction","athens","37.9700704","23.7277079",,,"2025-09-05 09:12:32.246199"
"1314","Χορηγικό μνημείο Νικία","attraction","athens","37.9702386","23.7269591",,,"2025-09-05 09:12:32.246199"
